Pokedex Number,Pokemon Name,Classification,Legendary Type,Height,Weight,Primary Type,Secondary Type,Primary Ability,Primary Ability Description,Secondary Ability,Secondary Ability Description,Hidden Ability,Hidden Ability Description,Male Ratio,Female Ratio,Games of Origin,Health EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV,Catch Rate,Experience Growth Name,Experience Growth Total,Experience Yield,Base Happiness,Health Base Stat,Attack Base Stat,Defense Base Stat,Special Attack Base Stat,Special Defense Base Stat,Speed Base Stat,Primary Egg Group,Secondary Egg Group,Cycle Count,Pre-Evolution Pokedex Number,Evolution Method,Evolution Details,Original Pokemon,Form Name
1,Bulbasaur,Seed Pokemon,,0.7,6.9,Grass,Poison,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,,,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,87.5,12.5,Red / Blue / Yellow,0,0,0,1,0,0,45,Medium Slow,1059860,64,70,45,49,49,65,65,45,Monster,Grass,20,,,,,
2,Ivysaur,Seed Pokemon,,1,13,Grass,Poison,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,,,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,87.5,12.5,Red / Blue / Yellow,0,0,0,1,1,0,45,Medium Slow,1059860,142,70,60,62,63,80,80,60,Monster,Grass,20,1,Level Up,Level 16,,
3,Venusaur,Seed Pokemon,,2,100,Grass,Poison,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,,,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,87.5,12.5,Red / Blue / Yellow,0,0,0,2,1,0,45,Medium Slow,1059860,236,70,80,82,83,100,100,80,Monster,Grass,20,2,Level Up,Level 32,,
252,Treecko,Wood Gecko Pokemon,,0.5,5,Grass,,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,,,Unburden,Boosts the Speed stat if the Pokemon's held item is used or lost.,87.5,12.5,Ruby / Sapphire,0,0,0,0,0,1,45,Medium Slow,1059860,62,70,40,45,35,65,55,70,Monster,Dragon,20,,,,,
253,Grovyle,Wood Gecko Pokemon,,0.9,21.6,Grass,,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,,,Unburden,Boosts the Speed stat if the Pokemon's held item is used or lost.,87.5,12.5,Ruby / Sapphire,0,0,0,0,0,2,45,Medium Slow,1059860,142,70,50,65,45,85,65,95,Monster,Dragon,20,252,Level Up,Level 16,,
254,Sceptile,Forest Pokemon,,1.7,52.2,Grass,,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,,,Unburden,Boosts the Speed stat if the Pokemon's held item is used or lost.,87.5,12.5,Ruby / Sapphire,0,0,0,0,0,3,45,Medium Slow,1059860,239,70,70,85,65,105,85,120,Monster,Dragon,20,253,Level Up,Level 36,,
650,Chespin,Spiky Nut Pokemon,,0.4,9,Grass,,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,,,Bulletproof,Protects the Pokemon from some ball and bomb moves.,87.5,12.5,X / Y,0,0,1,0,0,0,45,Medium Slow,1059860,63,70,56,61,65,48,45,38,Field,,20,,,,,
651,Quilladin,Spiky Armor Pokemon,,0.7,29,Grass,,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,,,Bulletproof,Protects the Pokemon from some ball and bomb moves.,87.5,12.5,X / Y,0,0,2,0,0,0,45,Medium Slow,1059860,142,70,61,78,95,56,58,57,Field,,20,650,Level Up,Level 16,,
652,Chesnaught,Spiky Armor Pokemon,,1.6,90,Grass,Fighting,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,,,Bulletproof,Protects the Pokemon from some ball and bomb moves.,87.5,12.5,X / Y,0,0,3,0,0,0,45,Medium Slow,1059860,239,70,88,107,122,74,75,64,Field,,20,651,Level Up,Level 36,,
722,Rowlet,Grass Quill Pokemon,,0.3,1.5,Grass,Flying,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,,,Long Reach,The Pokemon uses its moves without making contact with the target.,87.5,12.5,Sun / Moon,1,0,0,0,0,0,45,Medium Slow,1059860,64,70,68,55,55,50,50,42,Flying,,15,,,,,
